2018/05/16 21:15:20 [error] 6#6: *6169 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:20 [error] 6#6: *6171 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:24 [error] 6#6: *6499 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:24 [error] 6#6: *6497 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:24 [error] 6#6: *6493 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:24 [error] 6#6: *6491 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:24 [error] 6#6: *6487 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:24 [error] 6#6: *6485 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:24 [error] 6#6: *5963 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:24 [error] 6#6: *6453 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:24 [error] 6#6: *6451 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:24 [error] 6#6: *6435 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:24 [error] 6#6: *6433 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:24 [error] 6#6: *6431 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:24 [error] 6#6: *6427 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:25 [error] 6#6: *6003 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:25 [error] 6#6: *6005 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:26 [error] 6#6: *5375 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:26 [error] 6#6: *5373 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:26 [error] 6#6: *5371 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:26 [error] 6#6: *5393 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:26 [error] 6#6: *5391 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:26 [error] 6#6: *5389 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:26 [error] 6#6: *5387 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:26 [error] 6#6: *5383 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:26 [error] 6#6: *5381 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
